Country Code,Year,Import
ASM,1962,
ASM,1963,
ASM,1964,
ASM,1965,
ASM,1966,
ASM,1967,
ASM,1968,
ASM,1969,
ASM,1970,
ASM,1971,
ASM,1972,
ASM,1973,
ASM,1974,
ASM,1975,
ASM,1976,
ASM,1977,
ASM,1978,
ASM,1979,
ASM,1980,14.065842956
ASM,1981,34.6463921195
ASM,1982,29.3161779444
ASM,1983,33.6099615856
ASM,1984,42.0494673548
ASM,1985,43.8262054181
ASM,1986,46.343250996
ASM,1987,51.2292806534
ASM,1988,50.1928501196
ASM,1989,55.9672488049
ASM,1990,53.3021417211
ASM,1991,55.078879777
ASM,1992,61.8897089961
ASM,1993,69.144722733
ASM,1994,73.7346293786
ASM,1995,61.5491675385
ASM,1996,69.6777441498
ASM,1997,78.2653114548
ASM,1998,73.7642416783
ASM,1999,67.012637066
ASM,2000,74.9191214183
ASM,2001,75.0671829542
ASM,2002,71.8838605698
ASM,2003,90.4507732724
ASM,2004,87.1341955431
ASM,2005,74.9487337255
ASM,2006,83.7583932744
ASM,2007,68.1379044989
ASM,2008,84.0693223873
ASM,2009,71.3656453066
ASM,2010,53.4353970734
ASM,2011,51.0071883946
ASM,2012,58.5883816234
ASM,2013,70.9214607889
ASM,2014,90.4655793885
ASM,2015,100.0
ASM,2016,96.9453431153
ASM,2017,88.096595339
ASM,2018,96.7350957868
ASM,2019,105.3556807503
ASM,2020,103.3469303123
ASM,2021,105.271729904
ASM,2022,
ASM,2023,
ATG,1960,
ATG,1961,
ATG,1962,
ATG,1963,
ATG,1964,
ATG,1965,
ATG,1966,
ATG,1967,
ATG,1968,
ATG,1969,
ATG,1970,
ATG,1971,
ATG,1972,
ATG,1973,
ATG,1974,
ATG,1975,
ATG,1976,
ATG,1977,
ATG,1978,
ATG,1979,
ATG,1980,19.7398515555
ATG,1981,25.0089255341
ATG,1982,31.3347019669
ATG,1983,24.5701368389
ATG,1984,29.7548370482
ATG,1985,37.5278265943
ATG,1986,46.8100687961
ATG,1987,55.7261649452
ATG,1988,56.4363484074
ATG,1989,43.4125583419
ATG,1990,57.4598879149
ATG,1991,66.5833089002
ATG,1992,70.4342719446
ATG,1993,72.9510466205
ATG,1994,77.0418206609
ATG,1995,77.0336847057
ATG,1996,81.4093350848
ATG,1997,84.4727582761
ATG,1998,85.7883278539
ATG,1999,92.2503057826
ATG,2000,90.6905180214
ATG,2001,86.0111546834
ATG,2002,89.1307302421
ATG,2003,94.1253935495
ATG,2004,101.1493407054
ATG,2005,112.7503737343
ATG,2006,139.0842708682
ATG,2007,162.2749726784
ATG,2008,165.5026192845
ATG,2009,118.9598889315
ATG,2010,111.6874898414
ATG,2011,95.914470157
ATG,2012,109.7081191337
ATG,2013,112.0973565686
ATG,2014,118.6223655772
ATG,2015,100.0
ATG,2016,106.5121139052
ATG,2017,123.5031050701
ATG,2018,155.7022498466
ATG,2019,156.1777622703
ATG,2020,110.9942755546
ATG,2021,132.6991681265
ATG,2022,
ATG,2023,
AUS,1960,
AUS,1961,
AUS,1962,
AUS,1963,
AUS,1964,
AUS,1965,
AUS,1966,
AUS,1967,
AUS,1968,
AUS,1969,
AUS,1970,
AUS,1971,
AUS,1972,
AUS,1973,
AUS,1974,
AUS,1975,
AUS,1976,
AUS,1977,
AUS,1978,
AUS,1979,
AUS,1980,
AUS,1981,
AUS,1982,
AUS,1983,
AUS,1984,
AUS,1985,
AUS,1986,
AUS,1987,
AUS,1988,
AUS,1989,
AUS,1990,
AUS,1991,
AUS,1992,
AUS,1993,
AUS,1994,
AUS,1995,29.392071334
AUS,1996,31.3797856562
AUS,1997,31.6026145516
AUS,1998,30.9972930952
AUS,1999,33.1690354981
AUS,2000,34.3062014709
AUS,2001,30.6416109851
AUS,2002,34.8629379805
AUS,2003,42.72616969
AUS,2004,52.4621521344
AUS,2005,60.0865837958
AUS,2006,66.7877575633
AUS,2007,79.2975424724
AUS,2008,96.0538341476
AUS,2009,79.362290419
AUS,2010,96.7089875675
AUS,2011,116.8825325273
AUS,2012,125.1506068489
AUS,2013,116.1338542957
AUS,2014,113.8373457442
AUS,2015,100.0
AUS,2016,94.1337129981
AUS,2017,109.7260926183
AUS,2018,112.8943655582
AUS,2019,106.2650689089
AUS,2020,101.5938515402
AUS,2021,125.2584261628
AUS,2022,
AUS,2023,
AUT,1960,
AUT,1961,
AUT,1962,
AUT,1963,
AUT,1964,
AUT,1965,
AUT,1966,
AUT,1967,
AUT,1968,
AUT,1969,
AUT,1970,
AUT,1971,
AUT,1972,
AUT,1973,
AUT,1974,
AUT,1975,
AUT,1976,
AUT,1977,
AUT,1978,
AUT,1979,
AUT,1980,
AUT,1981,
AUT,1982,
AUT,1983,
AUT,1984,
AUT,1985,
AUT,1986,
AUT,1987,
AUT,1988,
AUT,1989,
AUT,1990,
AUT,1991,
AUT,1992,
AUT,1993,
AUT,1994,
AUT,1995,42.4504694311
AUT,1996,43.8387898422
AUT,1997,42.1310715806
AUT,1998,44.4997495463
AUT,1999,45.7479085229
AUT,2000,46.2783227385
AUT,2001,47.8274458128
AUT,2002,50.1769999142
AUT,2003,63.7835288878
AUT,2004,76.8398169341
AUT,2005,81.5959846428
AUT,2006,87.930540634
AUT,2007,104.4804063366
AUT,2008,118.1020180634
AUT,2009,91.6804045873
AUT,2010,101.8989507732
AUT,2011,122.6674627155
AUT,2012,114.397850992
AUT,2013,117.4484146412
AUT,2014,116.6809536796
AUT,2015,100.0
AUT,2016,101.0579316672
AUT,2017,112.6304046081
AUT,2018,124.1439959268
AUT,2019,118.399763814
AUT,2020,110.5119426534
AUT,2021,140.6765189205
AUT,2022,
AUT,2023,
AZE,1960,
AZE,1961,
AZE,1962,
AZE,1963,
AZE,1964,
AZE,1965,
AZE,1966,
AZE,1967,
AZE,1968,
AZE,1969,
AZE,1970,
AZE,1971,
AZE,1972,
AZE,1973,
AZE,1974,
AZE,1975,
AZE,1976,
AZE,1977,
AZE,1978,
AZE,1979,
AZE,1980,
AZE,1981,
AZE,1982,
AZE,1983,
AZE,1984,
AZE,1985,
AZE,1986,
AZE,1987,
AZE,1988,
AZE,1989,
AZE,1990,
AZE,1991,
AZE,1992,
AZE,1993,
AZE,1994,
AZE,1995,7.24771339
AZE,1996,10.4267254009
AZE,1997,8.6147970531
AZE,1998,11.6797684208
AZE,1999,11.236693426
AZE,2000,12.7160480437
AZE,2001,15.5261644617
AZE,2002,18.0704590546
AZE,2003,28.4939294994
AZE,2004,38.1481441311
AZE,2005,47.195384468
AZE,2006,57.1716340973
AZE,2007,65.5876723803
AZE,2008,82.1769179904
AZE,2009,70.6760554261
AZE,2010,73.1932253406
AZE,2011,110.304892216
AZE,2012,113.0282096658
AZE,2013,111.9770959336
AZE,2014,99.6853537639
AZE,2015,100.0
AZE,2016,92.1056343454
AZE,2017,95.2976661907
AZE,2018,124.4035283789
AZE,2019,148.2906029354
AZE,2020,116.4408085363
AZE,2021,127.0064122775
AZE,2022,
AZE,2023,
BDI,1960,
BDI,1961,
BDI,1962,
BDI,1963,
BDI,1964,
BDI,1965,
BDI,1966,
BDI,1967,
BDI,1968,
BDI,1969,
BDI,1970,
BDI,1971,
BDI,1972,
BDI,1973,
BDI,1974,
BDI,1975,
BDI,1976,
BDI,1977,
BDI,1978,
BDI,1979,
BDI,1980,19.6036074996
BDI,1981,18.8152108168
BDI,1982,24.8419644028
BDI,1983,21.1926539405
BDI,1984,21.815692717
BDI,1985,21.7172014824
BDI,1986,23.5175839838
BDI,1987,24.6923604205
BDI,1988,23.8328959815
BDI,1989,21.7889693877
BDI,1990,26.9215999119
BDI,1991,29.7877649821
BDI,1992,25.8383129772
BDI,1993,22.8681719698
BDI,1994,26.2014702508
BDI,1995,27.331085397
BDI,1996,14.8282994616
BDI,1997,14.1685015168
BDI,1998,18.3930054675
BDI,1999,13.7808381343
BDI,2000,17.2603562269
BDI,2001,16.260390082
BDI,2002,15.1011341973
BDI,2003,18.275026048
BDI,2004,20.5645972505
BDI,2005,31.4189386018
BDI,2006,50.2658906613
BDI,2007,37.2382071026
BDI,2008,46.9919905305
BDI,2009,46.9379603857
BDI,2010,59.3744631252
BDI,2011,87.7880185934
BDI,2012,87.6486838327
BDI,2013,94.6643174714
BDI,2014,89.7684626843
BDI,2015,100.0
BDI,2016,71.869000257
BDI,2017,88.1377558537
BDI,2018,92.5951845956
BDI,2019,103.5634210138
BDI,2020,106.1330621049
BDI,2021,120.1481086693
BDI,2022,
BDI,2023,
BEL,1960,
BEL,1961,
BEL,1962,
BEL,1963,
BEL,1964,
BEL,1965,
BEL,1966,
BEL,1967,
BEL,1968,
BEL,1969,
BEL,1970,
BEL,1971,
BEL,1972,
BEL,1973,
BEL,1974,
BEL,1975,
BEL,1976,
BEL,1977,
BEL,1978,
BEL,1979,
BEL,1980,
BEL,1981,
BEL,1982,
BEL,1983,
BEL,1984,
BEL,1985,
BEL,1986,
BEL,1987,
BEL,1988,
BEL,1989,
BEL,1990,
BEL,1991,
BEL,1992,
BEL,1993,
BEL,1994,
BEL,1995,43.9249599708
BEL,1996,44.6516422212
BEL,1997,43.1225551404
BEL,1998,44.957471302
BEL,1999,43.9284933658
BEL,2000,47.1527985021
BEL,2001,47.5764912462
BEL,2002,52.808321988
BEL,2003,62.5635245566
BEL,2004,76.0579925667
BEL,2005,84.8666880992
BEL,2006,93.6370027154
BEL,2007,109.5938935523
BEL,2008,124.1731333822
BEL,2009,94.0973986791
BEL,2010,104.1666663759
BEL,2011,124.3423470937
BEL,2012,116.9356459078
BEL,2013,120.2524119482
BEL,2014,120.8159467841
BEL,2015,100.0
BEL,2016,101.033063448
BEL,2017,108.9712941307
BEL,2018,121.2120549524
BEL,2019,114.2206679769
BEL,2020,105.8332154592
BEL,2021,135.8634782196
BEL,2022,
BEL,2023,
BEN,1960,
BEN,1961,
BEN,1962,
BEN,1963,
BEN,1964,
BEN,1965,
BEN,1966,
BEN,1967,
BEN,1968,
BEN,1969,
BEN,1970,
BEN,1971,
BEN,1972,
BEN,1973,
BEN,1974,
BEN,1975,
BEN,1976,
BEN,1977,
BEN,1978,
BEN,1979,
BEN,1980,12.9309850586
BEN,1981,21.1949640693
BEN,1982,18.1271116061
BEN,1983,12.4002245992
BEN,1984,11.2485060282
BEN,1985,12.9305945909
BEN,1986,15.091824006
BEN,1987,13.639329464
BEN,1988,12.7503554772
BEN,1989,8.0945948528
BEN,1990,10.3534017256
BEN,1991,9.4192117765
BEN,1992,22.5730748374
BEN,1993,22.308612204
BEN,1994,16.8330681719
BEN,1995,29.1183494961
BEN,1996,25.5496949913
BEN,1997,26.6211855843
BEN,1998,28.7271865098
BEN,1999,29.2533450499
BEN,2000,23.9375973876
BEN,2001,24.3280965364
BEN,2002,28.3027920343
BEN,2003,34.8245181988
BEN,2004,34.9018370453
BEN,2005,39.752812628
BEN,2006,47.9532946098
BEN,2007,79.5446751612
BEN,2008,89.3998582122
BEN,2009,80.6082776696
BEN,2010,80.2037986767
BEN,2011,83.1287543835
BEN,2012,91.3283772689
BEN,2013,117.5449525625
BEN,2014,149.4791664502
BEN,2015,100.0
BEN,2016,112.1632552156
BEN,2017,136.4364951331
BEN,2018,170.8378684707
BEN,2019,153.5296969029
BEN,2020,138.8301377212
BEN,2021,169.1896887451
BEN,2022,
BEN,2023,
BFA,1960,
BFA,1961,
BFA,1962,
BFA,1963,
BFA,1964,
BFA,1965,
BFA,1966,
BFA,1967,
BFA,1968,
BFA,1969,
