Country Code,Year,GDP
ECU,2005,40278849000.0
ECU,2006,45690762000.0
ECU,2007,49848725000.0
ECU,2008,61139438000.0
ECU,2009,60094978000.0
ECU,2010,68151329000.0
ECU,2011,78986648000.0
ECU,2012,87735048000.0
ECU,2013,96570334000.0
ECU,2014,102717794000.0
ECU,2015,97209558000.0
ECU,2016,97671433000.0
ECU,2017,104467486000.0
ECU,2018,107478962000.0
ECU,2019,107595829000.0
ECU,2020,95865472000.0
ECU,2021,107435101000.0
ECU,2022,116586079000.0
ECU,2023,118844826000.0
EGY,1960,4206270175.3169856
EGY,1961,4494575422.177872
EGY,1962,4035461921.9196296
EGY,1963,4187146119.134298
EGY,1964,4709245635.225199
EGY,1965,4948667540.41066
EGY,1966,5278005611.914526
EGY,1967,5605484298.982751
EGY,1968,5932242990.654205
EGY,1969,6524455205.811138
EGY,1970,8042200452.147701
EGY,1971,8609283346.085182
EGY,1972,9299638055.842813
EGY,1973,10098534613.441132
EGY,1974,9228963224.600042
EGY,1975,11632178868.917141
EGY,1976,13315988083.416088
EGY,1977,14400806875.986668
EGY,1978,14811704063.068527
EGY,1979,18020571428.57143
EGY,1980,21669908176.38889
EGY,1981,22136081081.08108
EGY,1982,27655172413.793102
EGY,1983,30966239813.736904
EGY,1984,33971188991.614704
EGY,1985,39053502251.07319
EGY,1986,41253507951.35641
EGY,1987,40455616653.574234
EGY,1988,34980124929.01761
EGY,1989,39756299049.97935
EGY,1990,42978914311.35038
EGY,1991,37387836490.52842
EGY,1992,41855986519.42346
EGY,1993,46578631452.58103
EGY,1994,51897983392.64532
EGY,1995,60159245060.45414
EGY,1996,67629716981.13208
EGY,1997,78436578171.09145
EGY,1998,84828807556.08029
EGY,1999,90710704806.84164
EGY,2000,99838543960.07632
EGY,2001,96684636118.59839
EGY,2002,85146067415.73033
EGY,2003,80288461538.46153
EGY,2004,78782467532.46753
EGY,2005,89600665557.40433
EGY,2006,107426086956.52174
EGY,2007,130437828371.27846
EGY,2008,162818181818.18182
EGY,2009,189147005444.64612
EGY,2010,218983666061.706
EGY,2011,235989672977.6248
EGY,2012,279116666666.6667
EGY,2013,288434108527.1318
EGY,2014,305595408895.26544
EGY,2015,329366576819.407
EGY,2016,332441717791.411
EGY,2017,248362771739.13043
EGY,2018,262588632526.73044
EGY,2019,318678815489.74945
