Country,Year,ED,Expenditure,Irate,Population,Tax,Trade,First_sector_GDP,First_sector_Inv
Greece,1999,-5312.8429999999935,1.2999999999999972,-0.7225000000000001,-32513.0,1.3999999999999986,-702.0,-437.40000000000146,125.5
Greece,2000,27712.998999999953,0.20000000000000284,1.6056999999999997,-17194.0,1.6000000000000014,-2709.0999999999985,-19.899999999999636,107.40000000000009
Greece,2001,29511.543000000063,-0.7000000000000028,-0.7027999999999999,59162.0,-1.7000000000000028,-252.0,11.199999999998909,70.89999999999986
Greece,2002,17123.285999999964,-0.3999999999999986,-0.5935999999999999,-40580.0,1.1000000000000014,779.7999999999993,-62.79999999999927,-327.29999999999995
Greece,2003,30773.430999999982,0.7999999999999972,-1.1587,-16712.0,-1.7000000000000028,-2908.5999999999985,188.5,249.0999999999999
Greece,2004,9000.665000000037,0.8999999999999986,-0.05929999999999991,21892.0,-1.0,1407.5999999999985,8.799999999999272,114.10000000000014
Greece,2005,12557.893999999971,-2.1999999999999957,0.05820000000000025,7841.0,1.3000000000000043,-45.0,180.3000000000011,216.89999999999986
Greece,2006,6892.9679999999935,-0.7000000000000028,1.1031999999999997,317.0,-1.0,-4172.299999999999,-1663.0,-109.19999999999982
Greece,2007,-31204.39399999997,1.8999999999999986,1.0140000000000002,-8773.0,0.7999999999999972,-4812.5,641.7999999999993,591.9000000000001
Greece,2008,30673.581000000006,3.700000000000003,0.37599999999999945,-2851.0,0.20000000000000284,-2251.5,653.3000000000011,427.7999999999997
Greece,2009,-25063.626000000047,3.299999999999997,-3.2156999999999996,15242.0,-0.8000000000000043,6642.5,-197.8000000000011,-491.1999999999998
Greece,2010,-50806.918999999994,-1.6999999999999957,-0.2570000000000001,-18143.0,1.2000000000000028,4206.5999999999985,-106.19999999999982,30.59999999999991
Greece,2011,-37421.468999999925,2.0,0.6545000000000001,-11177.0,2.1999999999999957,5137.800000000001,329.2000000000007,-587.9000000000001
Greece,2012,-19695.75199999998,2.799999999999997,-0.8936,-20648.0,3.5,3256.8999999999996,199.59999999999945,-253.0
Greece,2013,-113445.66300000006,6.0,-0.5782,-4716.0,-0.7999999999999972,4198.8,-742.3999999999996,510.5
Greece,2014,25274.076,-12.399999999999999,-0.06090000000000001,51788.0,0.6000000000000014,1625.8999999999996,787.9999999999991,-474.29999999999995
Greece,2015,35677.70499999996,3.299999999999997,-0.3074,2036.0,0.29999999999999716,894.7000000000003,-507.59999999999945,309.29999999999995
Greece,2016,13614.831000000006,-4.5,-0.2026,-13500.0,2.0,-689.3000000000002,-541.0999999999995,401.3000000000002
Greece,2017,-8172.948999999906,-1.6999999999999957,-0.1103,64196.0,0.20000000000000284,-82.5,1386.5999999999985,-62.80000000000018
Greece,2018,-36797.299,0.0,-0.02779999999999999,-70188.0,0.19999999999999574,-1220.9,-744.7999999999984,157.9000000000001
Greece,2019,25397.09699999995,-0.8999999999999986,-0.044300000000000006,21935.0,-1.2999999999999972,848.0,329.8999999999987,254.80000000000018
Greece,2020,-77796.73600000003,11.599999999999994,-0.08840000000000003,70.0,-0.10000000000000142,-9664.8,-1046.499999999999,-336.5
Greece,2021,18607.368000000017,-2.5999999999999943,-0.18489999999999995,-44431.0,0.10000000000000142,-1441.8999999999996,584.9999999999991,510.4000000000001
Greece,2022,25795.896000000066,-3.8000000000000043,1.5902999999999998,-145018.0,1.2999999999999972,-6208.0,1245.9000000000005,184.39999999999964
Greece,2023,-18686.137000000104,-3.3999999999999986,2.765,351967.0,-2.0999999999999943,9362.2,-2944.1000000000004,196.20000000000027
Ireland,1994,,,,,,,,1287.4099604406113
Ireland,1995,-10568.944000000018,1.3026652899679831,0.29000000000000004,,-0.5355344569449159,,,1206.8000000000002
Ireland,1996,31415.49800000002,-1.7999999999999972,-2.0,7985.0,0.20000000000000284,,-27.389334931647227,1378.1
Ireland,1997,27113.391000000003,-2.5,-0.6875,12442.0,-0.7999999999999972,,76.50000000000045,1528.8000000000002
Ireland,1998,20465.320000000007,-1.8999999999999986,-0.5133999999999999,3541.0,-0.8000000000000043,,-82.80000000000064,1444.2
Ireland,1999,10796.10599999997,-1.7000000000000028,-0.7225000000000001,189.0,-0.10000000000000142,18748.226857610014,-310.1999999999998,1315.9
Ireland,2000,23723.493000000017,-1.8999999999999986,1.6056999999999997,6939.0,-0.29999999999999716,-18628.300000000003,406.5,1286.3000000000002
Ireland,2001,13544.75,1.6000000000000014,-0.7027999999999999,9659.0,-2.1000000000000014,14788.300000000001,-391.0999999999999,1124.3
Ireland,2002,13649.798999999999,0.6999999999999957,-0.5935999999999999,11701.0,-0.7999999999999972,-7959.800000000005,289.4000000000001,1186.8
Ireland,2003,-21322.467000000004,-0.19999999999999574,-1.1587,-2430.0,0.6999999999999993,-2416.1999999999935,210.0,1273.4
Ireland,2004,19712.424,0.09999999999999432,-0.05929999999999991,171.0,1.0999999999999979,18140.199999999997,254.89999999999964,1125.9
Ireland,2005,7349.024000000034,0.20000000000000284,0.05820000000000025,18161.0,0.40000000000000213,-26509.29999999999,-1059.6999999999994,1183.4
Ireland,2006,13765.966999999946,0.6000000000000014,1.1031999999999997,13663.0,1.4000000000000021,23901.999999999978,316.49999999999955,1469.1
Ireland,2007,11990.572000000044,2.0,1.0140000000000002,35478.0,-0.5,-10342.999999999984,430.5999999999999,2002.1
Ireland,2008,2716.170999999973,6.0,0.37599999999999945,-14315.0,-1.7000000000000028,-11706.8,-62.19999999999936,2752.5
Ireland,2009,-7151.40399999998,5.299999999999997,-3.2156999999999996,-54090.0,-1.5,26632.399999999987,-454.900000000001,1304.8000000000002
Ireland,2010,-15766.05800000002,18.000000000000007,-0.2570000000000001,-35451.0,-0.6000000000000014,-32542.89999999999,674.1000000000008,997.4
Ireland,2011,-32697.331999999995,-18.10000000000001,0.6545000000000001,-6653.0,0.5,27760.800000000003,5.399999999999636,1175.2
Ireland,2012,4422.175999999978,-4.599999999999994,-0.8936,-3047.0,0.5,-17273.00000000001,-771.2999999999997,1494.9
Ireland,2013,-23526.661999999953,-2.4000000000000057,-0.5782,2086.0,-0.09999999999999787,25260.000000000007,632.1999999999998,1218.1999999999998
Ireland,2014,3011.1199999999953,-3.299999999999997,-0.06090000000000001,7581.0,-0.1999999999999993,-42029.999999999985,339.2999999999997,1263.4
Ireland,2015,27173.878999999957,-8.5,-0.3074,11702.0,-5.900000000000002,78570.99999999997,-419.09999999999945,1393.5
Ireland,2016,22428.911000000022,-0.5,-0.2026,8884.0,0.8000000000000007,-211751.5,147.09999999999945,1310.1
Ireland,2017,-4825.542000000016,-2.1999999999999993,-0.1103,24212.0,-1.3000000000000007,392384.70000000007,39.600000000000364,1295.3
Ireland,2018,7729.426000000036,-0.5,-0.02779999999999999,-16295.0,-0.09999999999999787,-405205.9000000001,-784.8000000000002,1264.6
Ireland,2019,7828.8369999999995,-0.9000000000000021,-0.044300000000000006,28002.0,-0.3000000000000007,105115.70000000008,1346.5,1489.8
Ireland,2020,-18303.772999999986,2.8000000000000007,-0.08840000000000003,-12289.0,-2.1000000000000014,426460.5999999999,-708.2999999999997,1339.9
Ireland,2021,9454.91399999999,-3.099999999999998,-0.18489999999999995,-17996.0,0.6999999999999993,-710403.2999999999,107.69999999999982,1354.1
Ireland,2022,-5777.075000000012,-3.0,1.5902999999999998,33091.0,0.20000000000000284,320600.99999999994,229.20000000000073,1118.4
